KEY	Bezirk	BL2014	POP1989	lat	lon
Karl-Marx-Stadt--Hohenstein-Ernstthal	Karl-Marx-Stadt	SN	16707	50.800473	12.7069527
Karl-Marx-Stadt--Jahnsdorf	Karl-Marx-Stadt	SN	2826	50.7454148	12.8541036
Karl-Marx-Stadt--Johanngeorgenstadt	Karl-Marx-Stadt	SN	9397	50.4310567	12.7146849
Karl-Marx-Stadt--Jöhstadt	Karl-Marx-Stadt	SN	1646	50.5142346	13.0900195
Karl-Marx-Stadt--Karl-Marx-Stadt	Karl-Marx-Stadt	SN	301918	50.8322608	12.9252977
Karl-Marx-Stadt--Kirchberg	Karl-Marx-Stadt	SN	9071	50.6227114	12.5261199
Karl-Marx-Stadt--Klingenthal	Karl-Marx-Stadt	SN	12489	50.3581046	12.4678923
Karl-Marx-Stadt--Lauter	Karl-Marx-Stadt	SN	5880	50.5516542	12.7199134
Karl-Marx-Stadt--Lengenfeld	Karl-Marx-Stadt	SN	6811	50.5693956	12.3651413
Karl-Marx-Stadt--Leubnitz-Neuostra	Karl-Marx-Stadt	SN	602	51.011481	13.7669851
Karl-Marx-Stadt--Leukersdorf	Karl-Marx-Stadt	SN	2369	50.7749953	12.8133033
Karl-Marx-Stadt--Lichtenstein	Karl-Marx-Stadt	SN	12261	50.75199855	12.62768011
Karl-Marx-Stadt--Limbach-Oberfrohna	Karl-Marx-Stadt	SN	22526	50.8608138	12.7545462
Karl-Marx-Stadt--Lunzenau	Karl-Marx-Stadt	SN	3789	50.9618042	12.756488
Karl-Marx-Stadt--Marienberg	Karl-Marx-Stadt	SN	11486	50.6507279	13.163188
Karl-Marx-Stadt--Markneukirchen	Karl-Marx-Stadt	SN	6964	50.311883	12.3292151
Karl-Marx-Stadt--Meerane	Karl-Marx-Stadt	SN	21420	50.8499362	12.4662169
Karl-Marx-Stadt--Mittweida	Karl-Marx-Stadt	SN	17633	50.9854597	12.9810458
Karl-Marx-Stadt--Mylau	Karl-Marx-Stadt	SN	3837	50.6212136	12.2632414
Karl-Marx-Stadt--Neuhausen	Karl-Marx-Stadt	SN	2611	51.0941051	13.039149
Karl-Marx-Stadt--Neukirchen	Karl-Marx-Stadt	SN	1539	51.0854462	12.5298029
Karl-Marx-Stadt--Neustadt	Karl-Marx-Stadt	SN	1066	50.4624664	12.3336826
Karl-Marx-Stadt--Oberwiesenthal	Karl-Marx-Stadt	SN	3978	50.43548205	12.94886741
Karl-Marx-Stadt--Oederan	Karl-Marx-Stadt	SN	6749	50.8614612	13.1694372
Karl-Marx-Stadt--Oelsnitz	Karl-Marx-Stadt	SN	13365	50.4101492	12.18378782
Karl-Marx-Stadt--Olbernhau	Karl-Marx-Stadt	SN	11882	50.6564031	13.345242
Karl-Marx-Stadt--Penig	Karl-Marx-Stadt	SN	7629	50.9331827	12.7075852
Karl-Marx-Stadt--Plauen	Karl-Marx-Stadt	SN	73971	50.4950632	12.1346523
Karl-Marx-Stadt--Pockau	Karl-Marx-Stadt	SN	3575	50.7027422	13.25139317
Karl-Marx-Stadt--Reichenbach	Karl-Marx-Stadt	SN	25663	50.6200076	12.298936
Karl-Marx-Stadt--Reumtengrün	Karl-Marx-Stadt	SN	853	50.5113945	12.3597035
Karl-Marx-Stadt--Rochlitz	Karl-Marx-Stadt	SN	7705	51.0456789	12.7990531
Karl-Marx-Stadt--Schneeberg	Karl-Marx-Stadt	SN	21074	50.5950694	12.6417008
Karl-Marx-Stadt--Schönberg	Karl-Marx-Stadt	SN	936	50.871234	12.4916997
Karl-Marx-Stadt--Schöneck	Karl-Marx-Stadt	SN	3506	50.38752105	12.34148499
Karl-Marx-Stadt--Schönheide	Karl-Marx-Stadt	SN	6463	50.4952314	12.50721378
Karl-Marx-Stadt--Schwarzenberg	Karl-Marx-Stadt	SN	20669	51.2142072	14.1063024
Karl-Marx-Stadt--Sohl	Karl-Marx-Stadt	SN	657	50.2795731	12.2781986
Karl-Marx-Stadt--Sosa	Karl-Marx-Stadt	SN	2468	50.4835698	12.67166286
Karl-Marx-Stadt--Stollberg	Karl-Marx-Stadt	SN	12836	50.7136208	12.7804319
Karl-Marx-Stadt--Tannenberg	Karl-Marx-Stadt	SN	1260	50.6155291	12.9445632
Karl-Marx-Stadt--Thalheim	Karl-Marx-Stadt	SN	9284	50.7024268	12.8514034
Karl-Marx-Stadt--Thum	Karl-Marx-Stadt	SN	3572	50.6698953	12.952226
Karl-Marx-Stadt--Treuen	Karl-Marx-Stadt	SN	7334	50.5389413	12.3069937
Karl-Marx-Stadt--Waldenburg	Karl-Marx-Stadt	SN	4253	50.8743975	12.6003812
Karl-Marx-Stadt--Werdau	Karl-Marx-Stadt	SN	20352	50.7361377	12.3763847
Karl-Marx-Stadt--Wilkau-Haßlau	Karl-Marx-Stadt	SN	10144	50.6750523	12.5115613
Karl-Marx-Stadt--Wolfgangmaßen/Aue	Karl-Marx-Stadt	SN	21074	50.5748427	12.6244794
Karl-Marx-Stadt--Zschopau	Karl-Marx-Stadt	SN	12947	50.7469606	13.0695613
Karl-Marx-Stadt--Zschorlau	Karl-Marx-Stadt	SN	4185	50.5652662	12.6478096
Karl-Marx-Stadt--Zwickau	Karl-Marx-Stadt	SN	118914	50.7185043	12.4939267
Karl-Marx-Stadt--Zwönitz	Karl-Marx-Stadt	SN	10386	50.6301029	12.8131994
Leipzig--Altenburg	Leipzig	SN	51426	50.766598	13.7523234
Leipzig--Böhlitz-Ehrenberg	Leipzig	SN	8622	51.3586394	12.290758
Leipzig--Börln	Leipzig	SN	1012	51.3809244	12.9282542
Leipzig--Borna	Leipzig	SN	23789	51.1241649	12.4999055
Leipzig--Borsdorf	Leipzig	SN	3665	51.3472715	12.540308
Leipzig--Colditz	Leipzig	SN	6257	51.1295496	12.8065842
Leipzig--Dahlen	Leipzig	SN	3367	51.366138	12.9979453
Leipzig--Delitzsch	Leipzig	SN	27894	51.5255661	12.342857
Leipzig--Döbeln	Leipzig	SN	27777	51.1167001	13.1166999
Leipzig--Eilenburg	Leipzig	SN	21388	51.4598924	12.6334496
Leipzig--Frohburg	Leipzig	SN	4784	51.0567105	12.5576743
Leipzig--Geithain	Leipzig	SN	6916	51.0542929	12.6948102
Leipzig--Gößnitz	Leipzig	SN	5343	51.1511719	11.5996115
Leipzig--Grimma	Leipzig	SN	17698	51.2382184	12.7288353
Leipzig--Hartha	Leipzig	SN	8658	51.0984539	12.9715576
Leipzig--Kitscher	Leipzig	SN	8310	50.8293711	12.3972474
Leipzig--Kohren-Sahlis	Leipzig	SN	2010	51.0191869	12.6052376
Leipzig--Leipzig	Leipzig	SN	530010	51.3391827	12.3810549
Leipzig--Leisnig	Leipzig	SN	8324	51.16005	12.9265979
Leipzig--Liebertwolkwitz	Leipzig	SN	4679	51.2820745	12.4616572
Leipzig--Lucka	Leipzig	TH	6243	51.095	12.335278
Leipzig--Meuselwitz	Leipzig	TH	10649	51.1704547	14.7529657
Leipzig--Mutzschen	Leipzig	SN	1866	51.26085635	12.88838051
Leipzig--Oschatz	Leipzig	SN	19214	51.297984	13.1082637
Leipzig--Pegau	Leipzig	SN	5013	51.1667169	12.255453
Leipzig--Regis-Breitingen	Leipzig	SN	4073	51.0889296	12.4396124
Leipzig--Roßwein	Leipzig	SN	8085	51.0651211	13.1845301
Leipzig--Schmölln	Leipzig	SN	11911	51.1229463	14.2307097
Leipzig--Torgau	Leipzig	SN	22742	51.5581272	13.0046538
Leipzig--Wellaune	Leipzig	SN	256	51.5718097	12.55652598
Leipzig--Wurzen	Leipzig	SN	18880	51.3709574	12.7410574
Leipzig--Zipsendorf	Leipzig	TH	10649	51.1704547	14.7529657
Leipzig--Zwenkau	Leipzig	SN	7582	51.2182735	12.324152
Magdeburg--Arendsee	Magdeburg	ST	3100	52.8909229	11.47705019
Magdeburg--Barby	Magdeburg	ST	5361	51.93216185	11.88391325
Magdeburg--Biederitz	Magdeburg	ST	3220	52.1567102	11.7198326
Magdeburg--Blankenburg	Magdeburg	ST	19075	51.7910474	10.9543435
Magdeburg--Böckwitz	Magdeburg	ST	6541	52.5701161	10.9448388
Magdeburg--Breitenrode	Magdeburg	ST	630	52.4577967	10.9708802
Magdeburg--Burg	Magdeburg	ST	27464	52.2667035	11.8499906
Magdeburg--Calbe	Magdeburg	ST	14253	51.9034006	11.7761208
Magdeburg--Dedeleben	Magdeburg	ST	1314	52.0333649	10.8907536
Magdeburg--Egeln	Magdeburg	ST	4948	51.9400891	11.4273755
Magdeburg--Elbingerode	Magdeburg	ST	4407	51.7706233	10.8009159
Magdeburg--Gardelegen	Magdeburg	ST	13414	52.526556	11.3929784
Magdeburg--Genthin	Magdeburg	ST	16905	52.4067169	12.1565327
Magdeburg--Halberstadt	Magdeburg	ST	46851	51.8926561	11.0554519
Magdeburg--Haldensleben	Magdeburg	ST	20636	52.2910882	11.4132397
Magdeburg--Harbke	Magdeburg	ST	1885	52.18776	11.0483065
Magdeburg--Havelberg	Magdeburg	ST	8039	52.8236195	12.0729703
Magdeburg--Kalbe	Magdeburg	ST	3765	52.6560868	11.3871751
Magdeburg--Klietz	Magdeburg	ST	2079	52.6670617	12.0668913
Magdeburg--Klötze	Magdeburg	ST	6541	52.6276465	11.165058
